Early Termination: 450 - 30 Epochs - MiniBatch Size 64

Epoch, Train-Loss, Train-Accuracy, Dev-Loss, Dev-Accuracy
1, 3.2957812079554474, 0.34919691968934635, 3.523893818322469, 0.3166296222663258
2, 2.7262442108454352, 0.4765896589632737, 3.1184966805535725, 0.3962416651032626
3, 2.8900856841174423, 0.44851485148777137, 3.371627472655704, 0.3536067893467038
4, 1.9861669512078313, 0.6349834983472121, 2.8813232725185443, 0.45443523947242104
5, 1.9722700232483765, 0.6458085808580858, 2.9519464939284696, 0.4477672257864685
6, 1.847233675992397, 0.6798679868013028, 2.955514691675232, 0.4532228734281767
7, 2.28239343704039, 0.574125412543877, 3.4105191277022024, 0.3782582339926859
8, 1.8891988890451699, 0.66996699669967, 3.26360478596775, 0.4194786826343964
9, 1.1197539895936863, 0.8378657865786578, 2.753824755937843, 0.49868660346260696
10, 1.0917856634672982, 0.8365016501597707, 2.859838462208324, 0.4774701960052136
11, 1.0191275232604102, 0.8595379537953796, 2.845067851975557, 0.4811072945113037
12, 0.7524860655238526, 0.9174477447744774, 2.6190158406467865, 0.5190947667399568
13, 0.7674184722042713, 0.9142574257425743, 2.684661082340795, 0.5114164477732476
14, 0.6014350747904762, 0.9511771177117712, 2.5163902604331825, 0.5431400283848934
15, 0.4852162064747973, 0.9722992299229923, 2.420442451682084, 0.549403920092229
16, 0.4277768387980718, 0.9837843784378438, 2.369495053704663, 0.5639523136047287
17, 0.37476909076026566, 0.9911111111111112, 2.2874055938736118, 0.5801171955134464
18, 0.3617081038603033, 0.9923872387238724, 2.2980059198139413, 0.5700141442775919
19, 0.3467868224661736, 0.9933553355335534, 2.2783017623879784, 0.572438876661153
20, 0.33082253322087235, 0.9963256325632563, 2.283496485452118, 0.5758739140303984
21, 0.2997820527049968, 0.997953795379538, 2.1136497696329064, 0.6080016164942014
22, 0.2926124359278789, 0.9981298129812981, 2.1739196401096206, 0.5983026875320361
23, 0.28575002823856926, 0.9987898789878988, 2.0825679786857103, 0.6106284097857754
24, 0.2829927192505437, 0.9989218921892189, 2.094768009081733, 0.6124469590900065
25, 0.2849510715464161, 0.9990539053905391, 2.122699046380642, 0.6124469590900065
26, 0.2767403932740324, 0.9991859185918592, 2.1278718033808124, 0.606587189439572
27, 0.2778701414421971, 0.9992739273927392, 2.098403452622527, 0.6166902405730544
28, 0.27181111607745667, 0.9992959295929593, 2.1213585221422973, 0.608203677631046
29, 0.2655958888423194, 0.9994719471947194, 2.0802417993786406, 0.6148716913591518
30, 0.263473124451632, 0.9995379537953796, 2.0852723092738006, 0.6166902405610106
