Early Termination: -1 - 30 Epochs - MiniBatch Size 256 - Learning Rate 0.01 - Momentum 0.8 - L2_regularizator 0.1 

Epoch, Train-Loss, Train-Accuracy, Dev-Loss, Dev-Accuracy
1, 16.069950236666457, 0.009900990099009901, 16.074848078313224, 0.009900990099009901
2, 4.65315333421441, 0.010231390213548608, 4.656462202170421, 0.011719539300868862
3, 4.725165766818083, 0.01656405907554048, 4.726743924832147, 0.0167710648615882
4, 5.587891825161931, 0.020011233603894316, 5.676348298890443, 0.017781369973732065
5, 4.8732756467158, 0.027136862740779085, 4.871225800748352, 0.024651444736310365
6, 4.846445974714792, 0.02806198306148746, 4.835366916695034, 0.028288543140028287
7, 4.917896080928762, 0.03492329210674126, 4.9082470742782744, 0.03556273994746413
8, 4.864595151333298, 0.04149825438606152, 4.853890157704595, 0.04061426550818347
9, 5.321045193386337, 0.04461502879987665, 5.301181671715284, 0.047888462315619315
10, 4.7552363381060045, 0.08102512142319088, 4.764853703515605, 0.08042028693041553
11, 4.788960342001595, 0.09398781924911068, 4.789282093194548, 0.09274600929480703
12, 4.958563240917862, 0.07568365290366634, 4.93417985792424, 0.08021822590422308
13, 4.890798946633699, 0.09427416601504422, 4.900664006466576, 0.09759547383309759
14, 4.865976983116388, 0.11321710591526338, 4.91825714504437, 0.11295211153768438
15, 4.679626563426192, 0.14701703763257304, 4.743161572521685, 0.1371994342291372
16, 4.67739407347864, 0.17781032830758048, 4.74103787750349, 0.16104263487573248
17, 4.652129042787838, 0.17584995429465083, 4.738038983964564, 0.167710648615882
18, 4.522836880481241, 0.22680866529367064, 4.6475470094493865, 0.2127702566174985
19, 4.398364249926745, 0.25002478001088796, 4.588725904089727, 0.2168114770690849
20, 4.5010260265185105, 0.24132424365907112, 4.662544310418108, 0.20933521923620935
21, 4.129057273616452, 0.32973931431020337, 4.453876623603449, 0.27318650232746544
22, 4.322988197109476, 0.29483804887817494, 4.690585385767902, 0.23317841993700159
23, 4.347981115271299, 0.30465093227898987, 4.806377700902785, 0.23055162659123055
24, 3.994693308890455, 0.40133701913074105, 4.662665230116475, 0.28692665185262206
25, 4.105510818266257, 0.3890130948590217, 4.84561598279255, 0.2673267327274643
26, 3.8167335367012125, 0.43696516481459047, 4.712374040877657, 0.2873307739012433
27, 3.2687928043554915, 0.5578805934012315, 4.510061012756755, 0.3321883209271006
28, 3.426588018244666, 0.5225938611678412, 4.609641318081316, 0.30430389980784234
29, 3.0722437225042833, 0.5740591856751639, 4.502763497658416, 0.3061224490337888
30, 3.326207915009283, 0.5270212227016752, 4.6436721027487575, 0.2915740553797749
