Early Termination: 450 - 30 Epochs - MiniBatch Size 64 - Learning Rate 0.01 Momentum 0.8 

Epoch, Train-Loss, Train-Accuracy, Dev-Loss, Dev-Accuracy
1, 3.483816317662154, 0.32787678767614503, 3.6279195561315536, 0.29642352002344846
2, 2.9105598679155404, 0.4590759075881362, 3.2640040470484797, 0.3762376238707702
3, 2.6247433828389553, 0.5486028602834058, 3.1207582217848744, 0.43746211356431647
4, 2.353380228573471, 0.6172057205694343, 3.1010865106272396, 0.44089715106002153
5, 2.244483240167431, 0.6431463146288403, 3.1369936071181206, 0.4459486766086971
6, 2.081516039620663, 0.7066886688642638, 3.1153048846571822, 0.4671650838613462
7, 1.7909081426521865, 0.7575577557755776, 3.0303446394333964, 0.4809052334888749
8, 1.8526862645962319, 0.7622662266226623, 3.0801818074060465, 0.48029905039750104
9, 1.4600777867760988, 0.8470847084656014, 2.9379445465436294, 0.5108102648083334
10, 1.661805086335202, 0.8084928492796828, 3.1405700674729533, 0.4798949283646872
11, 1.5678500562480049, 0.8388778877887789, 3.1081831059713125, 0.48130935552168863
12, 1.2939279427386747, 0.893971397139714, 3.0173733515266363, 0.49464538302607525
13, 1.1865509664579588, 0.9191639163916392, 2.9680773720497506, 0.5112143868411472
14, 1.2259726298366835, 0.9082068206820683, 2.948485124951831, 0.5235401092213461
15, 1.0749620177118955, 0.9432123212321232, 2.904869945103724, 0.5267730855802064
16, 0.950018338144678, 0.9633223322332233, 2.8052750778911233, 0.5449585775987961
17, 0.920564898030855, 0.9675687568756876, 2.8387545026608443, 0.5427359063520796
18, 0.9595007486180767, 0.9600660066006601, 2.9144839537122027, 0.5306122449943094
19, 0.8879801643694719, 0.9756435643564356, 2.8209740390053035, 0.5413214791830344
20, 0.8419241703356585, 0.9834103410341034, 2.7936742060544346, 0.5447565165763673
21, 0.7956241109898381, 0.9880528052805281, 2.757436638722446, 0.5611234594051417
22, 0.819931905817802, 0.9871727172717272, 2.7843896349793034, 0.551424530304473
23, 0.7714279232691355, 0.9893509350935094, 2.7821233168976023, 0.5520307133717594
24, 0.7951915382683211, 0.9851485148514851, 2.793344994173264, 0.5536472015752771
25, 0.7382902391620464, 0.9934873487348734, 2.7251951509496135, 0.5696100223110189
26, 0.77007155459575, 0.99001100110011, 2.83842697295788, 0.5437462114521797
27, 0.7365724048782365, 0.9939053905390539, 2.699887359375953, 0.5700141443679202
28, 0.7388702339491304, 0.9922332233223322, 2.7533941319504756, 0.5570822389445225
29, 0.7245994100895914, 0.9938833883388338, 2.7521710519141247, 0.5605172763137679
30, 0.7121581389932874, 0.9957535753575357, 2.690034099192686, 0.572034754592208
